title,text,type
徕 卡 发布 徕 卡 M10 R 相机 快门速度 拨盘 4000 万 像素 分辨率,今晚 徕 卡 发布 徕 卡 M10 相机 家族 新 成员 徕 卡 M10 R 相机 4000 万 像素 分辨率 售价 64900 元 IT 徕 卡 M10 相机 背部 三个 操控 按钮 ISO 拨杆 快门速度 拨盘 徕 卡 M10 P 相机 安静 快门 得以 延续 机身 正面 红色 徕 卡 标志 重回 徕 卡 M10 相机 家族 配置 徕 卡 M10 R 相机 最新 研发 感光 元件 4000 万 像素 分辨率 徕 卡 还 徕 卡 M 系统 一贯 人 称道 色彩 特质 最新 研发 感光 元件 愈加 出彩 徕 卡 M10 R 相机 动态 范围 最长 曝光 时间 增加 16 分钟,0
索尼 W350 体验 到底 优势,索尼 cyber shot 系列 新品 一口气 全线 更新 目光 跟随者 去 主打 几款 卡片 相机 身上 无疑 索尼 TX7 HX5 攒足 人气 背照式 CMOS 传感器 加上 全高清 视频 拍摄 能力 成为 最 值得 期待 产品 索尼 W 系列 当中 W350 备受 关注 产品 相 比较 发布 新品 W350 小巧 机身 超低 售价 成为 索尼 热 推 新品 今天 评测 文章 一起 一下 升级 后 索尼 W350 有何 优势 索尼 cyber shot 系列 新品 发布会 一口气 发布 款 产品 除去 TX7 HX5 两款 颇具 看点 产品 外 单单是 W 系列 发布 五款 产品 之多 索尼 W350 市场 较为 看好 产品 不到 2000 元 上市 售价 主打 性价比 实用 至上 产品 特点 性能 上 索尼 W350 具备 26mm 广角 2.3 英寸 1410 万 有效 像素 面向 中低端 用户 主打 简便 易用 备受 好评 全景 扫描 功能 720p 高清 视频 拍摄 功能 整体 性能 不 显弱 用户 更是 显得 很 丰富 索尼 W350 轻薄 小巧 却 很 成为 消费者 焦点 相机 究竟 成像 表现 下面 样张 分析 详细 说明 索尼 W 系列 T 系列 为主 时尚 数码相机 系列 索尼 T 系列 滑盖式 设计 潜望 式 镜头 相对来说 伸缩式 镜头 W 系列 轻薄 本次 索尼 新 上市 W350 改进 相机 性能 机身 尺寸 控制 91 52 17mm 大小 厚度 做到 该类 产品 极限 方方正正 造型 延续 先前 W 系列 风格 性价比 卖点 卡片 相机 索尼 W350 机身 背面 简洁 为主 2.7 英寸 显示屏 占据 大部分 位置 留给 右手 握持 空间 太 款 产品 适合 女性 用户 上图 本人 握持 索尼 W350 一张 照片 男性 用户 上 比较 吃力 手指 覆盖 按键 比较 容易 造成 误触 机身 厚度 W350 大肆宣传 卖点 不愿 携带 笨重 物品 女性 用户 W350 很 好 选择 119g 重量 比起 索尼 TX7 还要 轻巧 伸缩式 镜头 卡片 相机 当中 很 优势 局部 细节 索尼 W350 引入 最新 研发 26mm 广角 卡尔 • 蔡司 镜头 索尼 WX1 W390 高级 W 系列 相机 G 镜头 有所不同 26mm 广角 加入 拍摄 场面 环境 优势 26 105mm 焦段 涵盖 日常 大部分 焦段 记录 到此一游 照片 绰绰有余 索尼 W350 2.7 英寸 23 万 像素 液晶屏 配置 参数 上 显得 落后 价位 产品 上 却 无可厚非 显示 效果 日常 拍摄 取景 需求 可视 角度 偏小 正面 观看 色彩 变化 较大 容易 造成 判断 错误 26mm 广角 外 全景 拍摄 W350 一大 卖点 按键 设计 上 更是 夸张 拨档 键 全景 拍摄 功能 独立 成为 一档 视频 功能 升级 720p 高清 规格 卖点 索尼 本次 发布 数码相机 当中 终于 SD 存储卡 这是 人 泪流满面 消息 索尼 记忆棒 SD 存储卡 抗争 SD 卡 逐渐 成为 行业 标准 索尼 设备 不 SD 存储卡 诸多不便 终于 SD 存储卡 妥协 索尼 不 甘心 索尼 产品 消费者 大喜事 W350 上 存储卡 槽 记忆棒 SD 存储卡 相当 方便 全景 扫描 高清 视频 拍摄 功能 介绍 索尼 W350 上 增添 扫描 全景 模式 这项 功能 索尼 消费 相机 好评 不断 功能 相机 横向 纵向 扫描 自动 接合 拍 图片 构成 单幅 全景 照片 回放 还 选择 滚动 浏览 模式 查看 索尼 TX7 上 智能 全景 扫描 功能 似乎 W350 上 功能 基本 保持 TX1 上 水平 扫描 动态 物体 场景 发生 移动 物体 影像 重叠 索尼 消费 相机 视频 拍摄 功能 一向 比较完善 拍摄 变焦 自动 对焦 W350 升级 720p 高清 视频 规格 后 实用性 更好 比较 遗憾 拍摄 变焦 速度 过快 显得 唐突 风景 微距 夜景 样张 分析 索尼 W350 室外 光线 充足 表现 出来 画质 相当 喜人 ISO400 成像 效果 接受 同价位 产品 上 比较 优势 以上 几幅 室外 拍摄 街景 焦点 处 上佳 表现 26mm 广角端 较为 实用 发现 中心 边缘 画质 差异 较大 镜头 畸变 较为 明显 改进 镜头 广角端 应该 保证 镜头 解析度 索尼 W350 专门 设定 微距 模式 拍摄 细小 物体 靠近 拍摄 广角端 最近 对焦 距离 近 镜头 拍摄 微距时 解析度 相当 细节 部分 表现 出来 夜景 索尼 卡片 相机 比较 欠缺 夜景 模式 最长 秒钟 曝光 时间 拍摄 夜景 远远不够 程序 曝光 更是 秒钟 最长 曝光 时间 低 感光度 拍摄 夜景 容易 发生 欠 曝 多样 张 总结 索尼 W350 上市 售价 1700 元 价位 卡片 数码相机 W350 轻薄 小巧 机身 设计 女生 最 适合 26mm 广角 全景 扫描 720p 高清 视频 拍摄 功能 用户 家用 拍摄 需求 easy 模式 更大 字体 显示 简单 拍摄 操作 不 熟悉 数码产品 老人家 更易 上手 索尼 W 系列 标榜 高性能 W350 售价 显示 出 高 性价比 成像 不尽人意 地方 索尼 电子产品 界 名气 售价 受欢迎 程度 一定 低,0
消息 称 尼康 秋季 发布 新款 单反 旗舰 机型 D4x 无低通 滤镜,北京 时间 消息 外媒 报道 尼康 秋季 发布 新款 单反 旗舰 机型 D4x 配置 3600 万 像素 传感器 无 低通 滤镜 据悉 尼康 秋季 发布 全新 旗舰 单反 D4x 尼康 D4 机身 保持一致 尼康 D800E 上 3600 万 像素 传感器 无 低通 滤镜 拍 6fps 价格 D3x 便宜 约 5000 6000 美元 之间 尼康 还 D7000 后续 机型 新款 Coolpix 机型 P310,0
佳能 60D 套机 18 135mm 防抖 镜头 表现 出色,佳能 60D 摄影 爱好者 熟知 中端 单反相机 上市 时间 有点 性能 上 太多 优势 凭借着 出色 性价比 明显 高于 入门 单反 操控 手感 相当 摄影 爱好者 青睐 国美 电器 各大 门店 促销 款 相机 18 135mm 防抖 镜头 佳能 60D 套机 促销 价格 5899 元 中端 单反相机 佳能 60D 拍 表现 出色 一秒钟 5.3 张 照片 拍 速度 拍 数量 上 JPEG 格式 一口气 拍摄 58 张 照片 RAW 格式 表现 16 张,0
佳能 IXUS 130 DIGIC 处理器 佳能 倍 光学 变焦 伸缩式 镜头,最近 小编 市场 上 佳能 IXUS130 商家 铁岭 数码相机 维修 处 现货 出售 商家 报价 1640 元 28mm 广角 12 倍 光学 变焦镜头 还 增添 微缩 景观 效果 短片 高清 短片 拍摄 模式 感兴趣 商家 逛逛 佳能 IXUS 130 DIGIC 处理器 具备 高速 处理 性能 出色 色彩 还原 能力 IXUS 130 一枚 1410 万 有效 像素 CCD 传感器 佳能 倍 光学 变焦 伸缩式 镜头 镜头 涵盖 28mm 广角端 具备 光学 影像 稳定 系统 IS 佳能 IXUS 130 液晶屏 2.7 英寸 23 万 像素 PureColor2 代 液晶屏 视频 拍摄 佳能 IXUS 130 720p 高清 视频 拍摄 配备 HDMI 接口 编辑 点评 该款 相机 1200 万 有效 像素 CCD 图像 感应器 影像 处理器 高性能 DIGIC 大容量 数据 高速 高画质 处理,0
佳能 S9 加入 F2.0 超大 光圈 设计 拍照 手感 画质 突出,佳能 S90 相机 小巧 身材 时尚 外观 还 带有 全手动 曝光 RAW 无损 格式 图像 高端 性能 配置 更是 加入 F2.0 超大 光圈 设计 镜头 部 控制 环 接近 手动 相机 操作 感 拍照 手感 画质 突出 现 相机 再次 降价 商家 金博 数码 报价 仅为 2630 元 兴趣 详情 佳能 PowerShot S90 放入 衬衫 口袋 小巧 机身 还 旗舰 机型 PowerShot G11 相同 双重 降噪 系统 高达 3200 ISO 感光度 低噪点 高画质 高性能 相机 还 广角端 明亮 F2.0 光圈 镜头 相当于 提升 约 档 快门速度 效果 IS 光学 防抖 技术 效果 相结合 防止 抖动 有效 佳能 PowerShot S90 1.7 英寸 1000 万 有效 像素 CCD 传感器 最高 分辨率 3648x2736 照片 拍摄 具备 3.8 倍 光学 变焦 能力 广角镜头 等效于 35mm 焦距 28 105 光圈 范围 F2.0 4.9 电子 变焦 方式 快门速度 15 1600 秒 佳能 PowerShot S90 背面 配备 3.0 英寸 46.1 万 像素 液晶屏 取景 清晰 开阔 轻薄 机身 便携 S90 还 光学 防抖 功能 双重 降噪 功能 高清 摄像 功能 拍摄 照片 质量 清晰 锐利 色彩 自然 逼真 编辑 点评 F2.0 超大 光圈 双 降噪 系统 实际 拍照 很大 用途 配备 功能 佳能 S90 再 加上 其所 出色 配置 手感 普通 消费类 相机 画质 出色 配备 时下 正为 流行 高清 视频 拍摄 功能 不得不 说 小 遗憾 喜欢 不妨 商家 联系 一下 届时 提及 太平洋 电脑网 河南站 享受 更好 优惠 服务,0
佳能 S90 双重 降噪 功能 高清 摄像 功能 光学 防抖 功能,佳能 S90 相机 小巧 身材 时尚 外观 手动 操控 功能 相当 强大 带有 全手动 曝光 RAW 无损 格式 图像 高端 性能 配置 更是 加入 F2.0 超大 光圈 设计 镜头 部 控制 环 接近 手动 相机 操作 感 用户 操控 单反 操作 S90 F2.0 超大 光圈 双 降噪 系统 拍照 变 犀利 商家 最新 报价 2830 元 喜欢 不妨 考虑一下 外观 讲 佳能 S90 全金属 机身 设计 整体 黑色 为主 色调 突显 稳重 专业 气质 外形尺寸 100 58.4 30.9 重约 175g 机身 棱角 均 弧度 处理 使 手感 大大 提升 便于 携带 佳能 S90 英寸 晶炫 II 液晶屏 显示 精度 达 46.1 万 像素 宽广 色域 高对比度 回放 图像 品质 高 低 角度 高 角度 拍摄 画面 易于 观察 配置 讲 佳能 S90 1.7 英寸 1000 万 有效 像素 CCD 传感器 最高 分辨率 3648x2736 照片 拍摄 具备 3.8 倍 光学 变焦 能力 广角镜头 等效于 35mm 焦距 28 105 光圈 范围 F2.0 4.9 电子 变焦 方式 快门速度 15 1600 秒 佳能 S90 背面 配备 3.0 英寸 46.1 万 像素 液晶屏 取景 清晰 开阔 轻薄 机身 便携 S90 还 光学 防抖 功能 双重 降噪 功能 高清 摄像 功能 拍摄 照片 质量 清晰 锐利 佳能 S90 强大 手动 操控 功能 高端 便携式 数码相机 1.7 英寸 1000 万 有效 像素 CCD 双重 降噪 系统 F2.0 超大 光圈 S90 主打 优异 成像 强大 降噪 能力 1000 万 像素 成像 能力 价位 仅 2830 元 喜欢 商家 咨询 一下 届时 提及 太平洋 电脑网 西安站 享受 优惠,0
三星 ST65 卡片 数码相机 整体 性能 相当 出色,春节 临近 商家 一系列 优惠 促销 活动 2013 号 小编 兰州 市场 商家 兰州 锐志 数码 专卖 给出 三星 ST65 数码相机 最新 价格 仅为 747 元 实惠 三星 ST65 时尚 入门 卡片 数码相机 外观设计 精致 唯美 1400 万 像素 2.3 英寸 CCD 倍 27mm 135mm 广角 变焦镜头 整体 性能 相当 出色 喜欢 不妨 关注 一下 三星 ST65 外观 时尚 纤薄 线条 流畅 边角 圆润 手感 出色 2.7 英寸 23 万 像素 液晶屏 效果 细腻 三围 尺寸 92x56x17mm 重 110g 厚 17mm 携带 方便 蓝 红 黑 银 四种 机身 颜色 供 用户 选择 三星 ST65 1400 万 像素 2.3 英寸 CCD 像素数 1454 万 27mm 135mm 倍 广角 变焦镜头 内置 Smart Auto Smart Filter 功能 720p 高清 录影 电子 防抖 Micro SD MicroSDHC 存储卡 锂电池 BP 70A 续航 能力 出色 编辑 点评 三星 ST65 卡片 数码相机 绚丽 时尚 外观 硬件 配置 强劲 像素数 1454 万 广角 功能 性价比 高 感兴趣 不妨 一下,0
松下 FX01 众多 流行 功能 集于一身,细数 市场 上 人气 高 数码相机 松下 FX01 肯定 算是 卡片机 身份 上市 FX01 众多 流行 功能 集于一身 上市 半年 价格 不断 走低 价位 跌至 2080 元 逼近 2K 大关 成为 市场 上 最受 关注 机型 外观 上 松下 FX01 图 　 库评 　 测论 　 坛 购买 地点 设计 相当 轻巧 很 FX 系列 风格 机身 尺寸 94.1 X51.1 X24.2 体重 132g 机身 背后 松下 FX01 配备 2.5 英寸 20.7 万 像素 多晶硅 TFT LCD 显示屏 具备 LCD 增亮 模式 FX01 集 高感光度 光学 防抖 广角镜头 这三大 制胜 法宝 一身 松下 FX01 28mm 广角 徕 卡 VARIO ELMARIT 镜头 镜头 中有 一枚 称为 EA 镜片 超高 屈光 率 非球面 玻璃 研磨 镜片 屈光 率 2.0 超高 屈光 率 玻璃 K PSFn2 制造 再 加上 枚 非球面 镜片 只用 组 枚 镜片 超小 体积 相当于 35mm 相机 28mm 102mm 广角 变焦镜头 松下 FX01 镜头 还 带有 光学 防抖 系统 减少 拍虚 机率 FX01 光圈 F2.8 5.6 最近 对焦 距离 5cm 广角端 30cm 长焦端 FX01 前作 FX9 比例 600 万 CCD 16 拍摄 模式 848 480 分辨率 30fps 高清晰 连续 视频 拍摄 正好 宽屏 电视 FX01 优异 性能 还 表现 高感光度 最高 达 ISO 1600 配合 光学 防抖 系统 不开 闪光灯 大大提高 照片 成功 拍摄 率 得益于 松下 第三代 维纳斯 引擎 新 图像 引擎 耗电量 小 FX01 单块 电池 连续 拍摄 数量 原先 FX9 270 张 基础 上 增加 320 张 扩充 款 相机 主流 SD MMC 卡 扩充 电源 1150 毫安 锂电池 相信 供电 时间 一定 表现,0
索尼 W320 这台 相机 拍摄 体验,追求 实用 家庭用户 选择 购买 一台 高性价比 卡片 相机 选择 相机 用来 记录 生活 发生 精彩 卡片 相机 价格 比较 亲民 预算 太 充足 家庭用户 觉得 有太大 负担 今天 来到 评测 中心 索尼 入门级 卡片 DC 索尼 W320 到底 这台 相机 拍摄 体验 一探 究竟 索尼 W320 2.3 英寸 SUPER HAD CCD 传感器 1410 万 有效 像素 随机 一枚 具备 倍 光学 变焦 能力 镜头 等效 焦距 26mm 105mm 完全 普通 家庭用户 索尼 W320 拍摄 1410 万 有效 像素 静态 照片 外 还 视频 拍摄 视频 拍摄 加入 大大的 增加 相机 实用性 方便 随时 生活 精彩 记录下来 索尼 W320 金属 材质 机身 表面 磨砂 处理 手感 细腻 还 相当 防滑 效果 索尼 W320 机身 尺寸 92.9 51.9 17mm 包含 电池 存储卡 重量 约 117g 同等 变焦 水平 相机 不算 重 本次 评测 银色 机型 外 还 蓝色 金色 传统 黑色 供 选择 相机 背部 2.7 英寸 23 万 像素 LCD 液晶 显示屏 显示 效果 仅 用来 回放 拍摄 照片 完全 屏幕 右边 相机 按键 区 按键 区 经典 布局 设置 每个 按键 上 标有 相应 提示 相信 入门 玩家 很快 上 手 相机 顶部 电源 键 快门键 模式 拨盘 快门键 上 集成 变焦 拨杆 拍摄 需 轻拨 手指 相机 变焦 操作 续航 能力 索尼 W320 充电 锂电池 供电 官方 宣称 电池 一次 充满 电后 拍摄 200 多张 静态 照片 建议 喜爱 拍照 另配 备用 电池 以备 不时之需 接下来 不妨 一同 看看 索尼 W320 实际 拍摄 环境 样片 表现 本页 样片 均 原片 上传 成像 兴趣 点击 后 放大 原图 浏览 室外 天气晴好 索尼 W320 拍摄 效果 还 倍 光学 变焦镜头 用于 拍摄 旅游 风景 相当 便捷 追求 实用主义 家庭用户 一台 小巧 便携 功能 全面 靓丽 外观 相机 选择 索尼 W320 一台 相机 2.3 英寸 SUPER HAD CCD 传感器 感光 元件 配备 一枚 倍 光学 变焦镜头 1410 万 有效 像素 拍摄 能力 价格 700 元 左右 喜欢 关注 一下 一枚 1410 万 有效 像素 传感器 体积 小巧 时尚 便携 价格 亲民 品牌 认知度 高 高感 画质 有待 提升,0
